aid,title,video_url,cover_url,publish_time,duration,category,description,tags,view,like,reply,favorite,share,coin,danmaku,hot_comments,bvid
114946948011180,在苏联出差有多危险？【神奇组织35】,https://www.bilibili.com/video/BV1ng8yzJE43,http://i2.hdslb.com/bfs/archive/5acdf1ef21e38176df841e10237c0cc68d6bc5b0.jpg,2025-07-31T18:00:00+08:00,40:03,人文历史,本篇为神奇组织特别篇之苏联大案调查。  参考资料： 卡利尼琴科1998年出版《1400亿的案件，或调查员的7060天》 亚历山大·萨金采夫2018年出版《网与剑之下》 尤里·索洛维特斯基2019年出版《矛盾的正义》 戈尔巴乔夫回忆录《孤独相伴》,人文历史档案馆; 犯罪; 组织; 人物; 人文; 苏联; 知识; 历史; 世界史; 探案,3049156,199611,9949,48594,6256,114199,25479,匹夫速更; 还有第二集吗？; 弹幕难评，什么东西都有，无人在意你知道哪些知识，别发你那降智的弹幕了，还能因为这吵起来，真招; 以可汗的7月勤政行为来看，可汗的专职应该是个有暑假的教师。; 这种大案真的都是从微末开始越扯越大还是从刚开始的微末其实就处在博弈范畴里; 我现在就在通辽市区玩（刚去佛寺，现在在蒙餐街）[嗑瓜子]顺手催更一下小约翰可汗[脱单doge][脱单doge][脱单doge]; 催更; 还不更还不更还不更; 什么时候讲讲棉花案; 现在世界证明了不能什么都查是对的,BV1ng8yzJE43
114934180483118,全球最环保电池——但是欧洲版【神奇组织34】,https://www.bilibili.com/video/BV1NV8DzrENU,http://i0.hdslb.com/bfs/archive/438cd20898205d1e1acdf003eb8d7fbfca65d097.jpg,2025-07-29T10:59:12+08:00,39:23,人文历史,本篇为神奇组织之北伏公司。,人文历史档案馆; 人文; 欧洲; 组织; 瑞典; 历史; 知识; 电池; 新能源; 世界史,3029096,183095,9913,36403,8872,84243,34017,欧洲你撅起吧; 你说得对，但是瑞典、荒地、组织——诺德维克与西方的秘密联盟被揭露之后，东方军队对这个位于瑞典荒野的偏远设施进行了猛烈的围攻。斯堪的纳维亚是诺德维克科技集团总部的所在地。他们是我们在欧洲该地区的主要支持者之一。有人将这份情报泄露给了俄方。敌人正在计划对诺德维克设施进行突袭，并将其占为己有。我们必须全力阻止。将敌人拒之门外，无邦者们。不惜一切代价，绝不后退一步，让俄军每前进一步都要付出沉重的代价。我们会全力支援你的。为了目标，放手一搏。[傲娇]; 999999999999999999999999999998888888888999999999999999988888888888888888999999999999999999999999999999999999999999992222111112222222111111112222222222222222222222222221111111000000000000000000000000000000000000000000000000000000000000000000; 搞了一堆LGBT专员，连厂区环保和净化水都有专员管理，唯独没找一个真正懂怎么造电池的专家，有限的几个有专业电池生产能力的工程师还因为“不符合多元化”需求而被他们开了，这一切都太魔幻了……就好像是开了个大饭店，什么都顶级的，唯独没有请来好大厨，而且还把唯一能做菜的老厨师全部给开了……这……[笑哭]; 一块没搞，你就说环保不环保吧[滑稽]; https://www.bilibili.com/video/BV1QB8DzWEVZ/?spm_id_from=333.1007.top_right_bar_window_history.content.click&vd_source=7f45c54b40442226c1e607b18de03cd2喵[打call]; 这个故事之前在卢诗瀚那里看过，讲的就是招了一堆多元生物做工厂的下场; 欧洲这个政治正确属实是一点都不务实。员工语言不通，高管懂buff不懂技术，然后还反中入脑，能干成事才有鬼了; 起步调子定的太高了，起手先收购一个哪怕技术差一点的电池工厂，再做技术和组织架构改进，结局肯定不会是这样。; 太坏了闹钟,BV1NV8DzrENU
114885895655999,在苏联吃罐头有什么后果？【神奇组织33】,https://www.bilibili.com/video/BV1cbghzcETw,http://i0.hdslb.com/bfs/archive/5dfbe183c692136a2b4a2932a1333ec79f9d178f.jpg,2025-07-21T11:00:00+08:00,38:11,人文历史,片头曲《Far from any Road》，版权正在申请中。 本篇为神奇组织特别篇之苏联大案调查。  参考资料： 卡利尼琴科2005年出版《一个调查员的7060天》 亚历山大·兹维亚金采夫2016年出版《在网与剑之下》 康斯坦丁·加博年科2002年《雷托夫案》 鲍里斯·谢连诺夫等人1987年合著《调查员生活中的几天》 卡利尼琴科1995年《调查并未结束》 格里高利·卡拉科佐夫2013年出版《调查与权利》,人文历史档案馆; 人文; 历史; 犯罪; 奇闻; 苏联; 知识; 政治; 探案; 世界史,5114204,271810,9569,63955,8358,134238,32614,我有一个疑问，一开始如果费什曼就告诉博亚罗夫说是商店的营销策略不就好了吗？毕竟他是知道内情的，为什么要引来克格勃关注呢？; https://www.bilibili.com/video/BV1QB8DzWEVZ/?spm_id_from=333.1007.top_right_bar_window_history.content.click&vd_source=7f45c54b40442226c1e607b18de03cd2喵[打call]; 细思极恐; 女司机亮证事件调查出来了 不是我多想啊 和这个开头很像啊 都是基层的锅 都是误会 都是一查就认啊 当然了 女司机这事不涉及钱财 应该没有什么大鱼; @伟大的可汗; 这期大制作呀，模仿真探开头做的开场，针不戳; 苏联时期的四个超大案件（勋宗四大案）：渔业案，索契案，皮草案和那场毁天灭地级的棉花案。; 卡列尼琴科厉害啊; 看懂了; @苦逼高中生rz 20分钟,BV1cbghzcETw
114809911711593,归义军最大谜案是什么？【小约翰】,https://www.bilibili.com/video/BV14x3CzyEzz,http://i0.hdslb.com/bfs/archive/7a99e33ffd4f528613e92f5fbe6cb3307ad8f98f.jpg,2025-07-08T12:00:00+08:00,23:47,人文历史,本篇为小约翰系列之归义军。,发现《Micmacs à la gare》; 人文历史档案馆; 人文; 历史; 人物; 知识; 战争; 张淮深; 燕云十六声; 节度之死; 古代史,3075274,167047,6107,30756,5161,60932,12157,再见西域，再别已是伊斯兰; 前一段时间据说有人考证曹家是粟特人; 曹家很顺利就接手了; 颍川陈氏，现在大部分陈姓也都是颍川陈后人。; 燕云已经打到这里了吗[OK]; 这是我唯一一个在小约翰的视频里听不下去的视频，太痛了😭; 燕云玩到这里就过不下去剧情了，淮深太苦了，太累了😭; 为了一碟醋，包了一桌饺子，你是第一人; 朱老四：当他们怀疑你要做什么时候，你最好真的能做，因为枪总是指着好人啊[doge]; 只能说西北汉人牛逼[呲牙],BV14x3CzyEzz
114737048195715,神经病枪手——但是黑道版【硬核狠人87】,https://www.bilibili.com/video/BV1HfK3zPEHE,http://i2.hdslb.com/bfs/archive/19055e883fd2ecfd04fff0f8f188aeca4ebf275c.jpg,2025-06-25T11:00:00+08:00,34:27,人文历史,本篇为硬核狠人之约瑟夫·加洛。,人文历史档案馆; 黑帮; 人文; 知识; 历史; 硬核; 美国; 犯罪; 世界史; 狠人,4219536,216187,5919,39585,5449,97213,21517,"成为狠人只需要，[doge]先荡气回肠，再进入新型行业，之后龙城悟道，再赢麻了，之后品空不严，最后死于侵入性铜中毒。; 88没咯; 虽然不认识本体 但这期在圣约翰语录里也是浓重的一笔  。名句频出 内容丰富 还有对着对方拳头咣咣就是几脸这种武功秘籍 [打call]; 硬核狠人啥时候能更张荣清爷爷; 已经幻想出两个半小时的教父风格的美国70年代老电影了; 90年代刚进单位的时候，一个国企，虽然已经效益只够养活了，每2年都会轮一次去在全国各地的疗养院旅游，一般都是4,5天，每次都是几个干部带几组产线上的工人，轮着去的，我刚进去的时候已经算少了，要2年才能轮到一次，师父说以前他们至少一年一次，遇到有生产比赛的还能多去一次。; 说明你根本就没真正的去看历史; 好看; 加洛：纽约是一个很包容的城市，人捧人高！; 什么粉丝量？",BV1HfK3zPEHE
114669855447700,20世纪最离谱的绑架案是哪起？【神奇组织32】,https://www.bilibili.com/video/BV1gqMczxEtc,http://i0.hdslb.com/bfs/archive/a8408c8822c06aeb5ea15eb41038c29c5ed6eef8.jpg,2025-06-13T11:07:47+08:00,41:26,人文历史,本篇为神奇组织之意大利光荣会。  参考资料： 约翰·皮尔森1995年出版《财富之痛：让·保罗·盖蒂和他的继承人》 拉塞尔·米勒1987年出版《让·保罗·盖蒂：令人难以置信》 老盖蒂的自传《如我所见》 老盖蒂秘书罗宾娜回忆录《我所知道的盖蒂》,人文历史档案馆; 意大利; 组织; 历史; 人文; 犯罪; 知识; 上B站，看毕业设计展; 首富; 绑架; 世界史,4495673,230891,10807,45876,8759,118695,25957,不会真有人骂意大利吧[脱单doge]主要是他家族太操蛋; “印度斯坦是亚洲规模的意大利”——卡尔•马克思; 光荣会; 三个圣诞精灵都救不了老盖地这个逼; 注，这个老盖地是犹太人; 吝啬是道德，绑架是法律，绑匪犯法就是最坏的那个; 我想起来在X乎上看到的一个：题主的朋友，不读书，不工作，不玩乐，每天吃饱了，就躲在一个小木箱子里面，留个气口呼吸用，他特不理解，因为他朋友家极其富裕。。。。下面就有高手猜测，是不是他朋友被绑架过？？？结果果然是这样。。。。。; 可汗怎么做到这么有精神的？; 哎，可怜的孩子，希望他的余生能多一点幸运，遇到一些珍惜他的人; 所以老盖蒂死后他的钱去了哪？,BV1gqMczxEtc
114630781375693,我 在 苏 联 当 翻 译【硬核狠人86】,https://www.bilibili.com/video/BV1FBTtz2Eas,http://i0.hdslb.com/bfs/archive/71a8f8ca76ee6854bb3740f16d24f1f57aaffd02.jpg,2025-06-06T11:00:00+08:00,36:52,人文历史,本篇为硬核狠人之苏霍德列夫。,人文历史档案馆; 人物; 历史; 人文; 冷战; 美国; 翻译; 苏联; 世界史; 狠人,4911178,270816,7568,56196,10048,153150,29990,这期不错; 你可以说穗宗菜，但你不能说他坏，穗宗是个和蔼幽默的领导人; 不对吧，那美国翻译听不懂吗？; 看看这是啥; h h h; 我记得最近不是有一期是美国间谍的视频吗？在视频最后几分钟才解密的，怎么找不到了？ 难道我记忆错乱了？; 最后这句说的真好; bro也是通辽的[脱单doge]; 百度了一下法国数字0-100，确实难死; 5:17,BV1FBTtz2Eas
114589794770802,谁是莫洛迪的大弟子？【硬核狠人85】,https://www.bilibili.com/video/BV1ex7VzREZ8,http://i2.hdslb.com/bfs/archive/a06c1370b61b006fa6ca242c12ac9957b21e48f8.jpg,2025-05-30T11:00:00+08:00,37:17,人文历史,本篇为硬核狠人之努伊金。,人文历史档案馆; 人文; 苏联; 历史; 知识; 笑容加; 间谍; 电动牙刷; 世界史; usmile,4511040,248770,9810,51496,8826,153060,27424,[大哭][大哭][大哭]但是中间也是泪目好几次，这种信仰怎么就崩塌了呢。; 5：36; 他是我心中最成功的克格勃之一，正直慈爱善良的父亲，青梅竹马恩爱的妻子，卓越伟大无私的老师，丰富精彩的周游履历，用自己的知识获得社会财富，用自己的胆识为祖国建功立业，最后得以善终。; 妈呀这也太伟大了; 跟努伊金一起解密的苏联朝鲜族间谍叶夫根尼·金可不是事迹满天飞。他去执行任务的国家至今没有解密，只知道根据俄方描述是一个对内控制严格的亚洲国家。根据他的公开资料，他的经历应该也很神奇，在派驻国混到了比较高的位置; 伟大; 硬核狠人不就是二战和冷战的著名人物事迹的洗稿，基本都是这个时期的; 真正的达瓦里氏; 之前那一期的乔治布莱克先生活到了98岁，太长寿了，这一期的有点难受阿; 基因确实很重要，但没有重要到决定一切的程度。 人出生好比进入战场，基因就像武器，拿着枪的人肯定比拿刀的人有优势，但拿枪的人不勤练枪法，被拿刀的反杀也不稀奇。,BV1ex7VzREZ8
114573654888567,谁能给墨索里尼刨坟？【神奇组织31】,https://www.bilibili.com/video/BV1WAjUzYEHh,http://i2.hdslb.com/bfs/archive/027e596b11268dd4b9ee04cb6fcf0b30928a9ed7.jpg,2025-05-27T11:00:00+08:00,37:34,人文历史,本篇为神奇组织之法西斯民主党。  参考资料： 塞尔吉奥·卢扎托1998年出版《领袖之躯》 莫斯利·雷2006年出版《墨索里尼的最后几天》 安东尼奥·卡里奥蒂2006年出版《萨罗的孤儿》 法比奥·博纳奇纳2004年出版《隐藏的身体：墨索里尼在洛雷托广场到马焦雷山》 尼克莱·里奥2014年出版《凯尔特三部曲》 库梅尔·维蕾娜2007年《与死去的独裁者打交道》,人文历史档案馆; 犯罪; 意大利; 历史; 人文; 知识; 战争; 人物; 世界史; 墨索里尼,4163949,192191,5092,32463,5571,76855,21861,笑死我了，这仨特别像迪士尼反派的手下，有个坏心但智商不足，尽整些逗笑大家的活了; 说实话领袖确实被元首坑惨了，本来他可以成为意呆利的民族英雄，可惜了; 哈哈哈哈哈哈哈哈哈哈哈哈哈，全程哈哈哈哈哈; 这几个人是反装忠吧？; 左一右二思想; 这期我看得有点无聊，是我的问题吗[笑哭]; 还是意大利人会玩; 意大利人在抽象领域还是太有实力了，这期笑得我差点喘不上来气; 老墨还是有手段的 执政期间完成了全面镇压黑手党的壮举 一堆黑手党余孽移民美洲 可以说没有老墨就没有教父; 三巨头有点像马大帅里面的凉菜三人组,BV1WAjUzYEHh
114538288521048,吹牛皮能惹多大祸？【硬核狠人84】,https://www.bilibili.com/video/BV1MHJbz8EdL,http://i0.hdslb.com/bfs/archive/d71637f39294cec22d3c460f2d2490336992bd88.jpg,2025-05-21T11:00:00+08:00,38:14,人文历史,本篇为硬核狠人之恩博姆。  参考资料： 爱德华·弗朗西斯1954年出版《间谍网：共产主义间谍活动的研究》 库尔特·辛格1953年出版《特洛伊木马般的男人》 古斯塔夫·约翰森1968年出版《谣言的威力：传播如何变异》 马提亚斯·艾伯格2008年《恩博姆案》 阿莱塔·卡特松2001年《空中红色恐怖》 伊本·比昂松2012年出版《北欧兄弟会：社会民主党1945年-1962年的反共产主义运动》,人文历史档案馆; 瑞典; 人文; 苏联; 历史; 犯罪; 知识; 间谍; 世界史; 狠人,4500561,215061,6167,38625,5784,97306,20719,《经得起历史的考验和人民的监督》; 怎么现在给我推到主页去了; 不审稿能造成什么大祸？仓鼠你可长点心吧[doge]; 逆天; 现在01:52还有86人看; 好典型的一位entp; [热词系列_再给一集]; 这byd最后也不知道瞎编几个仇人名字; 吹牛大王历险记[吃瓜]; 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111      11111111111111111111111111111111111,BV1MHJbz8EdL
